id_municipio,poblacion
Cuevas del Almanzora,15526
Chercos,301
Chirivel,1619
Dalías,4196
Enix,612
Felix,771
Fines,2404
Fiñana,1956
Fondón,1152
Gádor,3130
"Gallardos, Los",3110
Garrucha,10845
Gérgal,1211
Huécija,526
Huércal de Almería,18660
Huércal-Overa,20860
Íllar,492
Instinción,507
Laroya,197
Laujar de Andarax,1674
Líjar,378
Lubrín,1434
Lucainena de las Torres,722
Lúcar,829
Macael,5436
María,1202
Mojácar,7680
Nacimiento,485
Níjar,33319
Ohanes,553
Olula de Castro,175
Olula del Río,6506
Oria,2219
Padules,438
Partaloa,836
Paterna del Río,399
Pechina,4552
Pulpí,12214
Purchena,1563
Rágol,297
Rioja,1609
Roquetas de Mar,111240
Santa Cruz de Marchena,236
Santa Fe de Mondújar,503
Senés,279
Serón,2151
Sierro,364
Somontín,497
Sorbas,2564
Suflí,224
Tabernas,3991
Taberno,955
Tahal,355
Terque,393
Tíjola,3573
Turre,4361
Turrillas,256
Uleila del Campo,815
Urrácal,340
Velefique,230
Vélez-Blanco,1928
Vélez-Rubio,6685
Vera,20282
Viator,6339
Vícar,29342
Zurgena,3059
"Tres Villas, Las",547
"Ejido, El",91440
"Mojonera, La",8793
Balanegra,3055
Adanero,207
"Adrada, La",2853
Albornos,170
Aldeanueva de Santa Cruz,100
Aldeaseca,211
"Aldehuela, La",141
Amavida,131
"Arenal, El",961
Arenas de San Pedro,6460
Arevalillo,58
Arévalo,7851
Aveinte,67
Avellaneda,23
Ávila,59107
"Barco de Ávila, El",2308
"Barraco, El",2086
Barromán,174
Becedas,146
Becedillas,70
Bercial de Zapardiel,166
"Berlanas, Las",323
Bernuy-Zapardiel,79
Berrocalejo de Aragona,55
Blascomillán,169
Blasconuño de Matacabras,14
Blascosancho,85
"Bohodón, El",104
Bohoyo,205
Bonilla de la Sierra,139
Brabos,34
Bularros,55
Burgohondo,1269
Cabezas de Alambre,152
Cabezas del Pozo,80
Cabezas del Villar,217
Cabizuela,89
Canales,42
Candeleda,5003
Cantiveros,102
Cardeñosa,430
"Carrera, La",155
Casas del Puerto,80
Casasola,67
Casavieja,1362
Casillas,673
Castellanos de Zapardiel,106
Cebreros,3345
Cepeda la Mora,63
Cillán,84
Cisla,107
"Colilla, La",375
Collado de Contreras,147
Collado del Mirón,18
Constanzana,104
Crespos,463
Cuevas del Valle,506
Chamartín,61
Donjimeno,69
Donvidas,31
