day,S,I,R,D,Moves
139,144504,9178272,7745636,32044413,1669
140,144359,9081968,7734962,32151531,1674
141,144155,8986678,7724349,32257659,1653
142,143885,8893522,7712981,32362422,1684
143,143557,8802280,7700936,32466060,1661
144,143223,8709927,7690749,32568905,1690
145,142895,8617363,7682167,32670485,1584
146,142539,8525462,7673960,32770873,1660
147,142188,8436925,7663548,32870247,1586
148,141810,8349821,7652310,32968889,1664
149,141469,8263353,7642249,33065799,1624
150,141169,8179232,7630417,33162068,1608
151,140965,8096642,7617963,33257351,1573
152,140829,8011073,7609374,33351659,1559
153,140692,7926537,7600871,33444775,1619
154,140580,7844703,7590238,33537415,1558
155,140441,7761311,7581431,33629777,1534
156,140234,7680754,7571012,33720981,1513
157,139937,7599276,7563240,33810511,1530
158,139615,7519542,7554634,33899243,1460
159,139263,7441424,7544773,33987515,1519
160,138960,7363203,7536763,34074051,1517
161,138668,7285389,7529003,34159937,1497
162,138388,7210388,7519398,34244850,1470
163,138146,7135226,7510081,34329511,1530
164,137957,7063023,7498882,34413213,1419
165,137769,6989623,7490129,34495543,1430
166,137623,6917192,7481304,34576917,1458
167,137497,6847738,7469785,34658052,1422
168,137395,6773010,7464767,34737841,1481
169,137286,6703211,7456021,34816539,1437
170,137156,6633409,7447526,34894902,1501
171,137031,6565333,7438329,34972399,1402
172,136933,6495390,7431779,35049000,1392
173,136855,6427074,7423922,35125178,1465
174,136745,6361253,7415054,35199983,1459
175,136613,6294073,7408809,35273622,1377
176,136483,6228670,7400934,35346994,1413
177,136312,6162507,7394708,35419605,1362
178,136159,6098100,7387728,35491100,1407
179,135982,6035016,7380034,35562157,1305
180,135808,5972881,7371664,35632793,1348
181,135631,5912920,7362309,35702326,1308
182,135474,5851330,7354527,35771839,1324
183,135360,5790210,7347661,35839963,1300
184,135235,5729289,7341154,35907506,1310
185,135061,5670858,7332759,35974461,1355
186,134884,5610718,7327470,36040106,1316
187,134661,5551128,7321771,36105664,1270
188,134477,5492724,7315573,36170478,1242
189,134326,5436993,7307131,36234755,1289
190,134222,5380358,7300913,36297739,1262
191,134125,5321285,7297354,36360457,1273
192,134049,5268667,7288033,36422405,1340
193,133965,5213222,7282102,36483943,1262
194,133872,5157442,7277032,36544881,1267
195,133755,5101977,7272256,36605312,1194
196,133587,5049059,7265711,36664886,1251
197,133429,4998027,7258144,36723623,1271
198,133262,4944752,7253204,36782095,1181
199,133151,4893708,7246566,36839856,1213
200,133067,4841850,7241199,36897139,1239
201,133015,4791130,7235316,36953768,1265
202,132961,4741200,7228915,37010192,1226
203,132898,4691020,7223653,37065737,1186
204,132818,4641093,7219095,37120275,1213
205,132740,4592560,7213550,37174426,1218
206,132690,4545913,7206894,37227806,1191
207,132642,4500033,7199859,37280826,1134
208,132608,4452801,7194679,37333264,1142
209,132582,4405242,7189921,37385545,1204
210,132556,4359879,7184138,37436742,1179
211,132516,4315370,7177384,37488014,1210
212,132440,4270473,7171738,37538585,1258
213,132344,4227563,7164876,37588575,1136
214,132190,4185128,7158197,37637804,1175
215,132046,4142666,7152142,37686470,1170
216,131928,4098816,7147784,37734866,1100
217,131819,4055931,7142916,37782707,1121
218,131711,4011998,7139780,37829877,1128
219,131558,3967823,7137473,37876441,1199
220,131420,3927181,7132360,37922466,1067
221,131287,3885137,7128740,37968229,1101
222,131179,3845557,7123040,38013608,1110
223,131124,3806274,7117676,38058333,1087
224,131071,3769533,7109726,38103080,1084
225,131028,3730585,7104951,38146872,1058
226,130970,3691332,7100655,38190478,1059
227,130900,3653048,7095704,38233750,1092
228,130829,3615133,7091124,38276326,1082
229,130778,3575723,7088316,38318548,1129
230,130743,3537724,7084786,38360201,1040
231,130692,3498046,7083182,38401484,1090
232,130654,3460229,7080074,38442476,1061
233,130626,3423978,7075762,38483071,1057
234,130601,3389211,7070640,38522943,1099
235,130583,3354224,7066141,38562495,1051
236,130546,3319456,7061883,38601587,1022
237,130505,3287302,7054976,38640651,1060
238,130465,3254184,7049760,38678989,1096
239,130427,3221308,7044492,38717260,1007
240,130385,3186608,7041745,38754688,1068
241,130356,3153707,7037724,38791672,1035
242,130323,3122022,7032539,38828585,1025
243,130273,3090271,7027846,38865110,994
244,130216,3058093,7024340,38900848,997
245,130122,3025311,7021515,38936453,1093
246,129978,2994108,7017480,38971914,1014
247,129825,2962253,7014854,39006577,985
248,129716,2931602,7011344,39040859,973
249,129620,2900144,7008556,39075148,1026
250,129526,2869374,7005494,39109027,1073
